VOC,NOX,24NOX,M1M1O3
9,32,261.9322312,3.445802529
9,33,270.818773,3.34767858
9,34,279.6897266,3.260690586
9,35,288.5404533,3.183807186
9,36,297.37287,3.115999934
9,37,306.1815988,3.056496305
9,38,314.9729704,3.004497345
9,39,323.7477408,2.959299745
9,40,332.4980585,2.920505471
9,41,341.2247562,2.887505655
9,42,349.927967,2.859816919
9,43,358.608446,2.840671923
9,44,367.2625633,2.828981515
9,45,375.8973808,2.820884272
9,46,384.5085319,2.816039165
9,47,393.0990557,2.814178195
9,48,401.6645073,2.815063826
9,49,410.2104088,2.818345079
9,50,418.7366729,2.823808188
10,1,2.17188429,45.99621942
10,2,4.285268527,69.65769346
10,3,6.466129985,86.10767321
10,4,8.816369318,97.79597165
10,5,11.48369902,105.0764708
10,6,14.80421248,107.9470264
10,7,19.54031464,102.9198388
10,8,26.50217016,86.75205207
10,9,35.94295694,67.77155081
10,10,47.65421529,50.73216079
10,11,60.48785071,37.27739983
10,12,72.90276639,27.36776571
10,13,83.70383319,21.27051858
10,14,93.84126549,17.30370721
10,15,103.6877656,14.48298826
10,16,113.3400645,12.39659075
10,17,122.85377,10.80621249
10,18,132.2623339,9.56428547
10,19,141.5929482,8.570608965
10,20,150.8596887,7.762008042
10,21,160.0772316,7.092575608
10,22,169.2507003,6.531138613
10,23,178.3884232,6.054914408
10,24,187.497886,5.6461215
10,25,196.5798474,5.304186871
10,26,205.6367904,5.013188925
10,27,214.6723658,4.757938109
10,28,223.6873436,4.532999462
10,29,232.6839484,4.334016406
10,30,241.6628844,4.157362971
10,31,250.6243083,3.999864322
10,32,259.5684089,3.859716205
10,33,268.4942151,3.7345819
10,34,277.4025422,3.622909939
10,35,286.2955759,3.52299265
10,36,295.1721089,3.433783287
10,37,304.0252414,3.354322603
10,38,312.864483,3.283625508
10,39,321.6844449,3.220920353
10,40,330.4833348,3.165525156
10,41,339.2650015,3.11674761
10,42,348.0262708,3.074233556
10,43,356.7680541,3.037353528
10,44,365.4832226,3.005785635
10,45,374.1777213,2.979009943
10,46,382.8479253,2.961200191
10,47,391.4957437,2.949536048
10,48,400.126507,2.941147552
10,49,408.7307342,2.935813107
10,50,417.3191661,2.933179555
11,1,2.142269349,46.12434776
11,2,4.214592682,70.37905955
11,3,6.333399673,87.6834087
11,4,8.584774174,100.5196815
11,5,11.07148146,109.489062
11,6,13.99118983,114.625131
11,7,17.79835521,114.4528458
11,8,23.27002517,104.9855932
11,9,30.93864349,86.99929978
11,10,40.99836253,68.30769482
11,11,53.21370363,51.64316009
11,12,66.38346354,38.40709021
11,13,78.94973413,28.56102403
11,14,89.79540113,22.43652493
11,15,99.96262229,18.39264999
11,16,109.8417431,15.47881708
11,17,119.5259882,13.30233641
11,18,129.0703161,11.63029095
11,19,138.508857,10.31564957
11,20,147.864745,9.260230925
11,21,157.1576528,8.39683188
11,22,166.3975878,7.679875274
11,23,175.5931062,7.076932967
11,24,184.7523969,6.563524071
11,25,193.8771599,6.123386984
11,26,202.9787193,5.740724305
11,27,212.0546904,5.424115249
11,28,221.1078232,5.146928756
11,29,230.1415005,4.90165235
11,30,239.1536476,4.684174801
11,31,248.1484068,4.490421359
11,32,257.1261947,4.317315828
11,33,266.088271,4.162315553
11,34,275.031201,4.02330029
11,35,283.9611095,3.898390662
11,36,292.8721008,3.786174049
11,37,301.7679954,3.685318577
11,38,310.6427517,3.594786737
11,39,319.5029368,3.513496711
11,40,328.3468126,3.440643387
11,41,337.1741096,3.375389941
11,42,345.980062,3.31737841
11,43,354.7683266,3.265897357
11,44,363.5369595,3.220372199
11,45,372.2849766,3.180420966
11,46,381.0138468,3.145587082
11,47,389.7178565,3.115523524
11,48,398.4019314,3.089819884
11,49,407.0661561,3.074051722
11,50,415.70792,3.062613718
12,1,2.115883865,46.21151872
12,2,4.152579828,70.94868239
12,3,6.219195255,88.95749316
12,4,8.39216949,102.7151885
